company,sector,country,ticker,exchange,hormuz_exposure_rationale,oil_dependency_score,hormuz_exposure_score,sector_sensitivity_score,france_economy,france_impact,company_risk_score,risk_level
ArcelorMittal France,Acier & Industrie Lourde,Luxembourg/France,MT,NYSE/Euronext,Consommation gaz et énergie très élevée. Sensibilité coûts énergétiques.,0.5,0.4,0.55,1,"Sites de Dunkerque, Fos-sur-Mer. Hausse gaz = surcoûts production acier FR. Risque fermeture temporaire comme 2021-22.",0.48,Modéré
Danone,Agroalimentaire,France,BN,Euronext Paris,Emballages plastiques + logistique. Sensibilité indirecte.,0.3,0.15,0.45,1,Hausse plastiques/emballages = pression marges Danone. Transmission partielle sur prix produits laitiers/nutrition FR.,0.285,Faible
Yara International,Agroalimentaire — Engrais,Norvège,YAR,Oslo Bors,Engrais azotés = gaz naturel. Hausse gaz → hausse coûts.,0.55,0.4,0.6,0,"Hausse prix engrais = coût supplémentaire agriculture française. Impact filière céréales, maïs, betterave.",0.515,Modéré
InVivo / Soufflet,Agroalimentaire — Négoce céréales,France,Non coté,—,Carburant agricole + coûts logistiques + prix engrais.,0.45,0.2,0.55,1,"Triple impact : hausse carburant agricole, hausse engrais (gaz), hausse fret export. Risque compétitivité céréales françaises sur marchés mondiaux.",0.395,Modéré
Toyota,Automobile,Japon,TM,TSE/NYSE,Japon dépend ~90% brut Golfe. Supply chain très exposée.,0.7,0.3,0.7,0,,0.58,Élevé
Stellantis,Automobile,Pays-Bas/France,STLA,NYSE/Euronext,"Plastics/résines pétrosourcées. Coûts production impactés. Sites français : Sochaux, Poissy, Rennes.",0.5,0.3,0.55,1,Hausse résines plastiques/caoutchouc synthétique = surcoûts production FR. Risque compétitivité Peugeot/Citroën/Opel.,0.45,Modéré
Renault Group,Automobile,France,RNO,Euronext Paris,Consommation matières pétrosourcées. Hausse coûts logistiques.,0.5,0.25,0.55,1,"Surcoûts matières + logistique = pression marges usines FR (Flins, Douai, Maubeuge). Impact emploi industriel France.",0.435,Modéré
Volkswagen Group,Automobile,Allemagne,VOW3,XETRA,Inputs pétrosourcés + carburant. Moins exposé géo Ormuz.,0.45,0.25,0.5,0,Impact indirect via compétition avec marques FR.,0.4,Modéré
Michelin,Automobile — Équipementier,France,ML,Euronext Paris,Caoutchouc synthétique = 40% butadiène (dérivé pétrole). Très sensible à la hausse des naphtas.,0.7,0.55,0.75,1,Hausse matières premières = pression marges Michelin. Risque hausse prix pneumatiques pour flotte de transport FR. Impact indirect sur coût logistique national.,0.665,Élevé
Valeo,Automobile — Équipementier,France,FR,Euronext Paris,"Composants auto. Plastiques, résines, câblages pétrosourcés.",0.55,0.35,0.6,1,Hausse inputs pétrosourcés = pression marges équipementier FR. Transmission aux constructeurs via prix pièces.,0.5,Modéré
Emirates,Aviation,Émirats Arabes Unis,Non coté,—,Hub Dubai dans la zone de crise. Perturbation des correspondances.,0.95,0.6,0.95,0,Perturbation connexions Europe-Asie via Dubai = surcharge pour voyageurs FR.,0.845,Critique
Air France-KLM,Aviation,France,AF,Euronext Paris,Carburant = 20-25% des coûts. Hausse Brent +10% → impact marge direct. Passager emblématique du CAC40.,0.7,0.2,0.85,1,"Surcharges carburant, hausse prix billets. Impact direct compétitivité et tourisme FR. Risque de perturbation des routes moyen-orientales (Dubai, Doha).",0.58,Élevé
Lufthansa Group,Aviation,Allemagne,LHA,XETRA,Très sensible prix kérosène. Concurrent direct AF sur routes FR.,0.7,0.2,0.85,0,Impact indirect concurrence sur routes internationales depuis France.,0.58,Élevé
Ryanair,Aviation,Irlande,RYA,Euronext/Nasdaq,Peu exposée géo. Très sensible carburant (30% des coûts).,0.5,0.05,0.8,0,Hausse billets low-cost = impact pouvoir d'achat voyageurs FR.,0.425,Modéré
